text,id,created_at,edit_history_tweet_ids
"@eliant_capital The new shiny object is #AI 

These narratives are full of hot air..

Cloud
Quantum Computing
Cannabis
EV Trucks
Sports Betting
Blockchain
Metaverse
Artificial Intelligence 

There is a failure to recognize how long it takes for innovation to materialize.",1665886218951819264,2023-06-06T00:59:59.000Z,['1665886218951819264']
"RT @StarryNift: 💥StarryNift Citizenship &amp; 3D Space claim is live now!

🎡Citizenship #Freemint Entrance: https://t.co/hdpSfXMkfX 

🏠Citizens…",1665886202795544576,2023-06-06T00:59:56.000Z,['1665886202795544576']
"RT @StarryNift: 💥StarryNift Citizenship &amp; 3D Space claim is live now!

🎡Citizenship #Freemint Entrance: https://t.co/hdpSfXMkfX 

🏠Citizens…",1665886195279368193,2023-06-06T00:59:54.000Z,['1665886195279368193']
"RT @StarryNift: 💥StarryNift Citizenship &amp; 3D Space claim is live now!

🎡Citizenship #Freemint Entrance: https://t.co/hdpSfXMkfX 

🏠Citizens…",1665886181748543488,2023-06-06T00:59:51.000Z,['1665886181748543488']
"RT @AnaLok17197515: originally issued as a memtoken, it contains  🟧 ok i will buy on ethereum decentralized finance, NFTs, and the Metavers…",1665886181173624832,2023-06-06T00:59:50.000Z,['1665886181173624832']
"RT @StarryNift: 💥StarryNift Citizenship &amp; 3D Space claim is live now!

🎡Citizenship #Freemint Entrance: https://t.co/hdpSfXMkfX 

🏠Citizens…",1665886179441668096,2023-06-06T00:59:50.000Z,['1665886179441668096']
"Great interview with @LorneSugarman of @metav3rsegroup 

#Metaverse #AppleVisionPro #AppleVR #VisionPro #Metaverse #AugmentedReality #VirtualReality  #ROBLOX #Fortnite #Finance #NFT #NFTCommunity #cryptocurrency #bitcoin #Ethereum #doge #dogecoin https://t.co/IWhyaAyWuO",1665886178841690113,2023-06-06T00:59:50.000Z,['1665886178841690113']
"RT @InfiblueNFT: We aims to improve our gaming experience with the most advanced technology 🥳
Check out our newest #VR inside of the game👀🤩…",1665886171606679553,2023-06-06T00:59:48.000Z,['1665886171606679553']
RT @furiosasgarage: Check out my review of the Fimbul Airbike. It's a sweet little ride on and off the racetrack. #staratlas #nfts #metaver…,1665886160927744000,2023-06-06T00:59:46.000Z,['1665886160927744000']
"RT @Cointelegraph: Grab your virtual backpacks, fellow explorers! 🎒✨ 

Prepare to embark on a thrilling journey through the Metaverse as we…",1665886141629726720,2023-06-06T00:59:41.000Z,['1665886141629726720']
